ETANOL,GASOLINA COMUM,GASOLINA ADITIVADA,DIESEL,SEMANA
2.69,4.49,4.90,3.39,1
3.00,4.80,4.90,4.10,2
2.75,4.45,4.55,3.88,3
2.50,4.20,4.20,3.30,4
2.70,4.50,4.80,3.70,5
2.70,4.50,4.60,3.70,6
2.60,4.90,5.10,4.00,7
2.80,4.90,5.05,3.80,8
2.65,4.35,4.56,3.90,9
3.00,4.90,5.00,3.87,10
2.80,4.69,4.89,3.89,11
2.74,4.49,4.79,3.69,12
2.69,4.49,4.78,3.69,13
2.57,4.34,4.54,3.71,14
2.69,4.29,4.89,3.69,15
2.80,4.59,4.79,3.79,16
2.90,3.49,4.59,3.89,17
2.90,4.79,4.89,3.89,18
2.49,4.29,4.39,3.49,19
2.79,4.59,4.79,3.79,20
2.57,4.34,4.54,3.71,21
2.59,4.29,4.49,3.79,22
3.00,4.99,5.19,3.89,23
2.70,4.19,4.59,3.89,24
2.70,4.49,4.69,3.83,25
2.69,4.39,4.49,3.55,26
3.19,4.89,5.04,4.02,27
2.48,4.19,4.19,3.49,28
2.47,4.27,4.34,3.23,29
2.49,4.19,4.14,3.14,30
2.59,4.39,4.14,3.14,31
2.59,4.19,4.14,3.39,32
2.69,4.39,4.39,3.99,33
2.69,4.37,4.37,3.29,34
2.75,4.39,4.65,3.75,35
2.69,3.97,4.09,3.69,36
2.59,4.29,4.39,3.48,37
2.57,4.29,4.44,3.47,38
2.47,4.23,4.38,3.39,39
2.49,4.19,4.38,3.39,40
2.44,3.99,4.39,3.49,41
2.59,4.39,4.69,3.69,42
2.59,4.29,4.37,3.29,43
2.44,4.27,4.37,3.49,44
2.55,4.19,4.24,3.49,45
2.39,4.19,4.39,3.09,46
2.56,4.19,4.39,3.09,47
2.80,4.50,4.80,3.70,48
2.70,4.40,4.70,3.90,49
3.00,5.09,5.20,3.89,50
2.80,5.00,5.00,3.80,51
4.85,2.8425000000000002,3.7925,4.675000000000001,52
4.85,2.8425000000000002,3.7925,4.675000000000001,53
4.85,2.8425000000000002,3.7925,4.675000000000001,54
4.85,2.8425000000000002,3.7925,4.675000000000001,55
4.85,2.8425000000000002,3.7925,4.675000000000001,56
4.85,2.8425000000000002,3.7925,4.675000000000001,57
4.85,2.8425000000000002,3.7925,4.675000000000001,58
4.85,2.8425000000000002,3.7925,4.675000000000001,59
